Country Name,Country Code,Indicator Name,Indicator Code,Most Recent GINI value,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Cyprus,CYP,GINI index (World Bank estimate),SI.POV.GINI,34.31,,,,,,,,,,,,,,,,,,,,,34.31,
Czech Republic,CZE,GINI index (World Bank estimate),SI.POV.GINI,26.13,,,,,,,,,,,,,,,,,,,,,26.13,
Germany,DEU,GINI index (World Bank estimate),SI.POV.GINI,30.13,,,,,,,,,,,,,,,,,,,,30.13,,
Djibouti,DJI,GINI index (World Bank estimate),SI.POV.GINI,45.13,,,,,,,,,,,,,,,,,,,,,45.13,
Dominica,DMA,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,GINI index (World Bank estimate),SI.POV.GINI,29.08,,,,,,,,,,,,,,,,,,,,,29.08,
Dominican Republic,DOM,GINI index (World Bank estimate),SI.POV.GINI,47.07,,,,,,,,,,,,,,,,,,,,,,47.07
Algeria,DZA,GINI index (World Bank estimate),SI.POV.GINI,35.33,,,,35.33,,,,,,,,,,,,,,,,,,
East Asia & Pacific (developing only),EAP,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (all income levels),EAS,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (developing only),ECA,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (all income levels),ECS,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,ECU,GINI index (World Bank estimate),SI.POV.GINI,47.29,,,,,,,,,,,,,,,,,,,,,,47.29
"Egypt, Arab Rep.",EGY,GINI index (World Bank estimate),SI.POV.GINI,30.75,,,,,,,,,,,,,,,,,30.75,,,,,
Euro area,EMU,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,ERI,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Spain,ESP,GINI index (World Bank estimate),SI.POV.GINI,35.89,,,,,,,,,,,,,,,,,,,,,35.89,
Estonia,EST,GINI index (World Bank estimate),SI.POV.GINI,33.15,,,,,,,,,,,,,,,,,,,,,33.15,
Ethiopia,ETH,GINI index (World Bank estimate),SI.POV.GINI,33.17,,,,,,,,,,,,,,,,,,,33.17,,,
European Union,EUU,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Finland,FIN,GINI index (World Bank estimate),SI.POV.GINI,27.12,,,,,,,,,,,,,,,,,,,,,27.12,
Fiji,FJI,GINI index (World Bank estimate),SI.POV.GINI,42.78,,,,,,,,,,,,,,,,,42.78,,,,,
France,FRA,GINI index (World Bank estimate),SI.POV.GINI,33.1,,,,,,,,,,,,,,,,,,,,,33.1,
Faeroe Islands,FRO,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,GINI index (World Bank estimate),SI.POV.GINI,61.18,,,,,,,,,61.18,,,,,,,,,,,,,
Gabon,GAB,GINI index (World Bank estimate),SI.POV.GINI,42.18,,,,,,,,,,,,,,42.18,,,,,,,,
United Kingdom,GBR,GINI index (World Bank estimate),SI.POV.GINI,32.57,,,,,,,,,,,,,,,,,,,,,32.57,
Georgia,GEO,GINI index (World Bank estimate),SI.POV.GINI,40.03,,,,,,,,,,,,,,,,,,,,,,40.03
Ghana,GHA,GINI index (World Bank estimate),SI.POV.GINI,42.77,,,,,,,,,,,,,,42.77,,,,,,,,
Guinea,GIN,GINI index (World Bank estimate),SI.POV.GINI,33.73,,,,,,,,,,,,,,,,,,,,,33.73,
"Gambia, The",GMB,GINI index (World Bank estimate),SI.POV.GINI,47.33,,,,,,,,,,,,47.33,,,,,,,,,,
Guinea-Bissau,GNB,GINI index (World Bank estimate),SI.POV.GINI,50.66,,,,,,,,,,,,,,,,,,,50.66,,,
Equatorial Guinea,GNQ,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Greece,GRC,GINI index (World Bank estimate),SI.POV.GINI,36.68,,,,,,,,,,,,,,,,,,,,,36.68,
Grenada,GRD,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Greenland,GRL,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,GINI index (World Bank estimate),SI.POV.GINI,52.35,,,,,,,,,,,,,,,,,,,,52.35,,
Guam,GUM,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,GINI index (World Bank estimate),SI.POV.GINI,44.55,,,,,,,44.55,,,,,,,,,,,,,,,
High income,HIC,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
"Hong Kong SAR, China",HKG,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Honduras,HND,GINI index (World Bank estimate),SI.POV.GINI,53.67,,,,,,,,,,,,,,,,,,,,,,53.67
Heavily indebted poor countries (HIPC),HPC,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Croatia,HRV,GINI index (World Bank estimate),SI.POV.GINI,31.98,,,,,,,,,,,,,,,,,,,,31.98,,
Haiti,HTI,GINI index (World Bank estimate),SI.POV.GINI,60.79,,,,,,,,,,,,,,,,,,,,,60.79,
Hungary,HUN,GINI index (World Bank estimate),SI.POV.GINI,30.55,,,,,,,,,,,,,,,,,,,,,30.55,
Indonesia,IDN,GINI index (World Bank estimate),SI.POV.GINI,35.57,,,,,,,,,,,,,,,,,,,35.57,,,
Isle of Man,IMN,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
India,IND,GINI index (World Bank estimate),SI.POV.GINI,33.9,,,,,,,,,,,,,,,,,,33.9,,,,
Not classified,INX,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,GINI index (World Bank estimate),SI.POV.GINI,32.52,,,,,,,,,,,,,,,,,,,,,32.52,
"Iran, Islamic Rep.",IRN,GINI index (World Bank estimate),SI.POV.GINI,37.35,,,,,,,,,,,,,,,,,,,,,,37.35
Iraq,IRQ,GINI index (World Bank estimate),SI.POV.GINI,29.54,,,,,,,,,,,,,,,,,,,,,29.54,
Iceland,ISL,GINI index (World Bank estimate),SI.POV.GINI,26.94,,,,,,,,,,,,,,,,,,,,,26.94,
Israel,ISR,GINI index (World Bank estimate),SI.POV.GINI,42.78,,,,,,,,,,,,,,,,,,,42.78,,,
Italy,ITA,GINI index (World Bank estimate),SI.POV.GINI,35.16,,,,,,,,,,,,,,,,,,,,,35.16,
Jamaica,JAM,GINI index (World Bank estimate),SI.POV.GINI,45.46,,,,,,,,,,,,,45.46,,,,,,,,,
Jordan,JOR,GINI index (World Bank estimate),SI.POV.GINI,33.66,,,,,,,,,,,,,,,,,,,33.66,,,
Japan,JPN,GINI index (World Bank estimate),SI.POV.GINI,32.11,,,,,,,,,,,,,,,,,32.11,,,,,
Kazakhstan,KAZ,GINI index (World Bank estimate),SI.POV.GINI,26.35,,,,,,,,,,,,,,,,,,,,,,26.35
Kenya,KEN,GINI index (World Bank estimate),SI.POV.GINI,48.51,,,,,,,,,,,,,,48.51,,,,,,,,
Kyrgyz Republic,KGZ,GINI index (World Bank estimate),SI.POV.GINI,27.37,,,,,,,,,,,,,,,,,,,,,27.37,
Cambodia,KHM,GINI index (World Bank estimate),SI.POV.GINI,30.76,,,,,,,,,,,,,,,,,,,,,30.76,
Kiribati,KIR,GINI index (World Bank estimate),SI.POV.GINI,37.61,,,,,,,,,,,,,,,37.61,,,,,,,
St. Kitts and Nevis,KNA,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",KOR,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,KSV,GINI index (World Bank estimate),SI.POV.GINI,26.71,,,,,,,,,,,,,,,,,,,,,,26.71
Kuwait,KWT,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (developing only),LAC,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Lao PDR,LAO,GINI index (World Bank estimate),SI.POV.GINI,37.89,,,,,,,,,,,,,,,,,,,,,37.89,
Lebanon,LBN,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Liberia,LBR,GINI index (World Bank estimate),SI.POV.GINI,36.48,,,,,,,,,,,,,,,,36.48,,,,,,
Libya,LBY,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
St. Lucia,LCA,GINI index (World Bank estimate),SI.POV.GINI,42.58,,,,42.58,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (all income levels),LCN,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Least developed countries: UN classification,LDC,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Low income,LIC,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,LIE,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,LKA,GINI index (World Bank estimate),SI.POV.GINI,38.58,,,,,,,,,,,,,,,,,,,,,38.58,
Lower middle income,LMC,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Low & middle income,LMY,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,LSO,GINI index (World Bank estimate),SI.POV.GINI,54.18,,,,,,,,,,,,,,,,,,,54.18,,,
Lithuania,LTU,GINI index (World Bank estimate),SI.POV.GINI,35.15,,,,,,,,,,,,,,,,,,,,,35.15,
Luxembourg,LUX,GINI index (World Bank estimate),SI.POV.GINI,34.79,,,,,,,,,,,,,,,,,,,,,34.79,
Latvia,LVA,GINI index (World Bank estimate),SI.POV.GINI,35.48,,,,,,,,,,,,,,,,,,,,,35.48,
"Macao SAR, China",MAC,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
St. Martin (French part),MAF,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Morocco,MAR,GINI index (World Bank estimate),SI.POV.GINI,40.72,,,,,,,,,,,,,,,,40.72,,,,,,
Monaco,MCO,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Moldova,MDA,GINI index (World Bank estimate),SI.POV.GINI,28.53,,,,,,,,,,,,,,,,,,,,,,28.53
Madagascar,MDG,GINI index (World Bank estimate),SI.POV.GINI,40.63,,,,,,,,,,,,,,,,,,,40.63,,,
Maldives,MDV,GINI index (World Bank estimate),SI.POV.GINI,36.78,,,,,,,,,,,,,,,,,,36.78,,,,
Middle East & North Africa (all income levels),MEA,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Mexico,MEX,GINI index (World Bank estimate),SI.POV.GINI,48.07,,,,,,,,,,,,,,,,,,,,,48.07,
Marshall Islands,MHL,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Middle income,MIC,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
"Macedonia, FYR",MKD,GINI index (World Bank estimate),SI.POV.GINI,44.05,,,,,,,,,,,,,,,,,44.05,,,,,
Mali,MLI,GINI index (World Bank estimate),SI.POV.GINI,33.04,,,,,,,,,,,,,,,,,,33.04,,,,
Malta,MLT,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,MMR,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa (developing only),MNA,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,MNE,GINI index (World Bank estimate),SI.POV.GINI,33.19,,,,,,,,,,,,,,,,,,,,,,33.19
Mongolia,MNG,GINI index (World Bank estimate),SI.POV.GINI,33.75,,,,,,,,,,,,,,,,,,,,,33.75,
Northern Mariana Islands,MNP,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,MOZ,GINI index (World Bank estimate),SI.POV.GINI,45.58,,,,,,,,,,,,,,,,,45.58,,,,,
Mauritania,MRT,GINI index (World Bank estimate),SI.POV.GINI,37.48,,,,,,,,,,,,,,,,,37.48,,,,,
Mauritius,MUS,GINI index (World Bank estimate),SI.POV.GINI,35.84,,,,,,,,,,,,,,,,,,,,,35.84,
Malawi,MWI,GINI index (World Bank estimate),SI.POV.GINI,46.12,,,,,,,,,,,,,,,,,,,46.12,,,
Malaysia,MYS,GINI index (World Bank estimate),SI.POV.GINI,46.26,,,,,,,,,,,,,,,,,,46.26,,,,
North America,NAC,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Namibia,NAM,GINI index (World Bank estimate),SI.POV.GINI,60.97,,,,,,,,,,,,,,,,,,60.97,,,,
New Caledonia,NCL,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Niger,NER,GINI index (World Bank estimate),SI.POV.GINI,31.45,,,,,,,,,,,,,,,,,,,,31.45,,
Nigeria,NGA,GINI index (World Bank estimate),SI.POV.GINI,42.97,,,,,,,,,,,,,,,,,,42.97,,,,
Nicaragua,NIC,GINI index (World Bank estimate),SI.POV.GINI,45.73,,,,,,,,,,,,,,,,,,45.73,,,,
Netherlands,NLD,GINI index (World Bank estimate),SI.POV.GINI,27.99,,,,,,,,,,,,,,,,,,,,,27.99,
High income: nonOECD,NOC,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Norway,NOR,GINI index (World Bank estimate),SI.POV.GINI,25.9,,,,,,,,,,,,,,,,,,,,,25.9,
Nepal,NPL,GINI index (World Bank estimate),SI.POV.GINI,32.75,,,,,,,,,,,,,,,,,,,32.75,,,
New Zealand,NZL,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
High income: OECD,OEC,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
OECD members,OED,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Oman,OMN,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Other small states,OSS,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,PAK,GINI index (World Bank estimate),SI.POV.GINI,29.59,,,,,,,,,,,,,,,,,,,29.59,,,
Panama,PAN,GINI index (World Bank estimate),SI.POV.GINI,51.67,,,,,,,,,,,,,,,,,,,,,,51.67
Peru,PER,GINI index (World Bank estimate),SI.POV.GINI,44.73,,,,,,,,,,,,,,,,,,,,,,44.73
Philippines,PHL,GINI index (World Bank estimate),SI.POV.GINI,43.04,,,,,,,,,,,,,,,,,,,,,43.04,
Palau,PLW,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,PNG,GINI index (World Bank estimate),SI.POV.GINI,43.88,,,,,,,,,,,,,,,,,,43.88,,,,
Poland,POL,GINI index (World Bank estimate),SI.POV.GINI,32.39,,,,,,,,,,,,,,,,,,,,,32.39,
Puerto Rico,PRI,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Dem. Rep.",PRK,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Portugal,PRT,GINI index (World Bank estimate),SI.POV.GINI,36.04,,,,,,,,,,,,,,,,,,,,,36.04,
Paraguay,PRY,GINI index (World Bank estimate),SI.POV.GINI,48.3,,,,,,,,,,,,,,,,,,,,,,48.3
Pacific island small states,PSS,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,PYF,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Qatar,QAT,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Romania,ROU,GINI index (World Bank estimate),SI.POV.GINI,27.33,,,,,,,,,,,,,,,,,,,,,27.33,
Russian Federation,RUS,GINI index (World Bank estimate),SI.POV.GINI,41.59,,,,,,,,,,,,,,,,,,,,,41.59,
Rwanda,RWA,GINI index (World Bank estimate),SI.POV.GINI,51.34,,,,,,,,,,,,,,,,,,,51.34,,,
South Asia,SAS,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,SAU,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Sudan,SDN,GINI index (World Bank estimate),SI.POV.GINI,35.39,,,,,,,,,,,,,,,,,,35.39,,,,
Senegal,SEN,GINI index (World Bank estimate),SI.POV.GINI,40.28,,,,,,,,,,,,,,,,,,,,40.28,,
Singapore,SGP,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Solomon Islands,SLB,GINI index (World Bank estimate),SI.POV.GINI,46.1,,,,,,,,,,,,,,46.1,,,,,,,,
Sierra Leone,SLE,GINI index (World Bank estimate),SI.POV.GINI,33.99,,,,,,,,,,,,,,,,,,,,33.99,,
El Salvador,SLV,GINI index (World Bank estimate),SI.POV.GINI,43.51,,,,,,,,,,,,,,,,,,,,,,43.51
San Marino,SMR,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Somalia,SOM,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Serbia,SRB,GINI index (World Bank estimate),SI.POV.GINI,29.65,,,,,,,,,,,,,,,,,,,29.65,,,
Sub-Saharan Africa (developing only),SSA,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
South Sudan,SSD,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Sub-Saharan Africa (all income levels),SSF,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Small states,SST,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,STP,GINI index (World Bank estimate),SI.POV.GINI,30.82,,,,,,,,,,,,,,,,,,,30.82,,,
Suriname,SUR,GINI index (World Bank estimate),SI.POV.GINI,57.61,,,,,,,,57.61,,,,,,,,,,,,,,
Slovak Republic,SVK,GINI index (World Bank estimate),SI.POV.GINI,26.12,,,,,,,,,,,,,,,,,,,,,26.12,
Slovenia,SVN,GINI index (World Bank estimate),SI.POV.GINI,25.59,,,,,,,,,,,,,,,,,,,,,25.59,
Sweden,SWE,GINI index (World Bank estimate),SI.POV.GINI,27.32,,,,,,,,,,,,,,,,,,,,,27.32,
Swaziland,SWZ,GINI index (World Bank estimate),SI.POV.GINI,51.45,,,,,,,,,,,,,,,,,,51.45,,,,
Sint Maarten (Dutch part),SXM,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,SYC,GINI index (World Bank estimate),SI.POV.GINI,42.77,,,,,,,,,,,,,,,42.77,,,,,,,
Syrian Arab Republic,SYR,GINI index (World Bank estimate),SI.POV.GINI,35.77,,,,,,,,,,,,,35.77,,,,,,,,,
Turks and Caicos Islands,TCA,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Chad,TCD,GINI index (World Bank estimate),SI.POV.GINI,43.32,,,,,,,,,,,,,,,,,,,,43.32,,
Togo,TGO,GINI index (World Bank estimate),SI.POV.GINI,46.02,,,,,,,,,,,,,,,,,,,,46.02,,
Thailand,THA,GINI index (World Bank estimate),SI.POV.GINI,39.26,,,,,,,,,,,,,,,,,,,,,39.26,
Tajikistan,TJK,GINI index (World Bank estimate),SI.POV.GINI,30.77,,,,,,,,,,,,,,,,,,30.77,,,,
Turkmenistan,TKM,GINI index (World Bank estimate),SI.POV.GINI,40.77,,,,,,,40.77,,,,,,,,,,,,,,,
Timor-Leste,TLS,GINI index (World Bank estimate),SI.POV.GINI,31.56,,,,,,,,,,,,,,,,31.56,,,,,,
Tonga,TON,GINI index (World Bank estimate),SI.POV.GINI,38.1,,,,,,,,,,,,,,,,,,38.1,,,,
Trinidad and Tobago,TTO,GINI index (World Bank estimate),SI.POV.GINI,40.27,40.27,,,,,,,,,,,,,,,,,,,,,
Tunisia,TUN,GINI index (World Bank estimate),SI.POV.GINI,35.81,,,,,,,,,,,,,,,,,,,35.81,,,
Turkey,TUR,GINI index (World Bank estimate),SI.POV.GINI,40.17,,,,,,,,,,,,,,,,,,,,,40.17,
Tuvalu,TUV,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
